Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
61814,-9.30,-1.81,-0.55,-0.02,-0.01,0.00,standing
61834,-9.25,-1.83,-0.58,-0.02,-0.00,-0.01,standing
61854,-9.45,-1.79,-0.61,-0.04,-0.01,-0.00,standing
61873,-9.30,-1.84,-0.62,-0.02,-0.02,-0.01,standing
61894,-9.44,-1.90,-0.60,-0.04,-0.02,-0.01,standing
61914,-9.33,-1.82,-0.48,-0.03,-0.02,-0.01,standing
61934,-9.28,-1.90,-0.50,-0.03,-0.00,0.00,standing
61954,-9.36,-1.78,-0.57,-0.03,0.01,0.00,standing
61976,-9.43,-1.79,-0.59,-0.01,0.01,-0.00,standing
61996,-9.33,-1.84,-0.71,-0.02,-0.00,-0.01,standing
62015,-9.29,-1.81,-0.62,-0.03,-0.02,-0.01,standing
62036,-9.29,-1.80,-0.50,-0.01,-0.02,-0.01,standing
62056,-9.32,-1.87,-0.52,-0.03,-0.02,-0.01,standing
62076,-9.34,-1.85,-0.57,-0.00,-0.01,-0.01,standing
62096,-9.37,-1.82,-0.56,-0.01,-0.01,-0.01,standing
62116,-9.32,-1.82,-0.54,-0.01,-0.01,0.00,standing
62136,-9.39,-1.83,-0.60,-0.03,-0.01,-0.00,standing
62156,-9.31,-1.74,-0.46,-0.04,-0.01,0.00,standing
62176,-9.31,-1.75,-0.57,-0.04,-0.02,-0.01,standing
62196,-9.33,-1.77,-0.61,-0.04,-0.02,-0.01,standing
62216,-9.38,-1.82,-0.49,-0.01,-0.02,-0.02,standing
62236,-9.35,-1.80,-0.55,-0.01,-0.00,-0.02,standing
62256,-9.29,-1.82,-0.43,-0.01,0.00,-0.02,standing
62276,-9.35,-1.76,-0.50,-0.01,0.01,-0.02,standing
62296,-9.38,-1.81,-0.57,-0.03,-0.01,-0.03,standing
62316,-9.35,-1.80,-0.56,-0.02,-0.01,-0.04,standing
62336,-9.31,-1.91,-0.48,-0.01,-0.03,-0.03,standing
