Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
49770,-6.04,6.90,-2.56,-0.01,-0.04,0.04,sitting
49790,-6.04,7.20,-2.69,-0.03,-0.02,0.04,sitting
49810,-5.94,7.24,-2.76,-0.06,-0.03,0.03,sitting
49830,-5.97,7.09,-2.58,-0.10,-0.06,0.02,sitting
49850,-5.95,7.05,-2.46,-0.11,-0.07,0.02,sitting
49870,-5.89,7.24,-2.36,-0.10,-0.04,0.02,sitting
49890,-5.94,7.31,-2.26,-0.11,-0.00,0.02,sitting
49910,-6.01,7.37,-2.38,-0.09,0.01,0.01,sitting
49930,-5.93,7.02,-2.46,-0.07,-0.02,0.01,sitting
49950,-5.89,7.12,-2.28,-0.09,0.00,0.02,sitting
49970,-5.98,7.30,-2.36,-0.10,0.04,0.02,sitting
49990,-6.05,7.26,-2.39,-0.12,0.01,0.01,sitting
50010,-5.97,7.14,-2.42,-0.12,-0.03,-0.00,sitting
50030,-5.82,7.05,-2.34,-0.10,-0.01,0.00,sitting
50050,-5.95,7.19,-2.46,-0.09,0.04,0.01,sitting
50070,-6.13,7.20,-2.39,-0.09,0.03,0.01,sitting
50090,-6.05,6.85,-2.38,-0.10,0.00,0.00,sitting
50110,-6.02,6.87,-2.33,-0.08,0.01,0.01,sitting
50130,-6.01,7.04,-2.38,-0.07,0.03,0.02,sitting
50150,-6.07,7.13,-2.40,-0.06,0.02,0.02,sitting
50170,-6.17,6.99,-2.47,-0.07,0.00,0.02,sitting
50190,-6.07,6.84,-2.31,-0.05,-0.01,0.02,sitting
50210,-6.06,6.91,-2.31,-0.04,-0.01,0.03,sitting
50230,-6.09,6.99,-2.35,-0.02,-0.01,0.03,sitting
50250,-6.07,7.09,-2.42,-0.02,-0.02,0.04,sitting
50270,-6.08,7.03,-2.22,-0.02,-0.03,0.04,sitting
50290,-5.93,7.14,-2.23,0.00,-0.02,0.03,sitting
50310,-5.79,7.25,-2.10,-0.00,0.01,0.03,sitting
50330,-5.87,7.17,-2.19,0.03,0.03,0.01,sitting
50350,-5.97,7.17,-2.27,0.02,0.04,0.03,sitting
50370,-5.98,7.11,-2.37,0.04,0.04,0.03,sitting
50390,-6.02,7.30,-2.31,0.04,0.03,0.02,sitting
50410,-6.03,7.34,-2.41,0.02,0.02,0.02,sitting
50430,-5.99,7.18,-2.51,0.02,0.03,0.02,sitting
50450,-6.02,6.97,-2.38,-0.00,0.02,0.03,sitting
50470,-5.92,7.05,-2.32,0.01,0.04,0.03,sitting
50490,-5.86,7.35,-2.36,0.03,0.05,0.02,sitting
50510,-5.74,7.37,-2.56,0.04,0.05,0.01,sitting
50530,-5.79,7.28,-2.62,0.04,0.05,-0.00,sitting
50550,-5.89,7.32,-2.65,0.02,0.05,-0.00,sitting
50570,-6.00,7.34,-2.73,0.04,0.04,-0.01,sitting
50590,-5.93,7.11,-2.79,0.01,0.02,0.01,sitting
50610,-6.00,7.06,-2.74,-0.01,-0.00,0.01,sitting
50630,-5.97,7.17,-2.73,-0.03,-0.02,0.03,sitting
50650,-5.95,6.98,-2.60,-0.05,-0.04,0.04,sitting
50670,-6.06,6.84,-2.57,-0.07,-0.03,0.03,sitting
50690,-5.78,6.99,-2.62,-0.05,-0.02,0.02,sitting
50710,-5.96,7.23,-2.72,-0.05,-0.03,0.02,sitting
50730,-5.76,7.39,-2.45,-0.02,-0.08,0.02,sitting
50750,-5.90,7.29,-2.36,-0.03,-0.08,0.01,sitting
50770,-5.95,7.25,-2.41,-0.03,-0.05,0.03,sitting
50790,-5.95,7.30,-2.23,-0.02,-0.06,0.05,sitting
50810,-5.90,7.22,-2.49,-0.04,-0.05,0.04,sitting
50830,-5.79,7.17,-2.48,-0.02,-0.04,0.04,sitting
50850,-5.80,7.31,-2.47,-0.02,-0.03,0.04,sitting
50870,-5.70,7.23,-2.54,-0.05,-0.02,0.01,sitting
50890,-5.94,7.33,-2.72,-0.04,0.00,0.02,sitting
50910,-6.10,7.45,-2.49,-0.06,-0.05,0.03,sitting
50930,-5.84,7.22,-2.60,-0.07,-0.04,0.03,sitting
50950,-5.88,7.09,-2.42,-0.10,-0.04,0.03,sitting
50970,-5.84,7.18,-2.32,-0.08,-0.04,0.02,sitting
50990,-5.88,7.29,-2.35,-0.05,-0.03,0.02,sitting
51010,-5.89,7.23,-2.40,-0.06,-0.02,0.03,sitting
51030,-5.90,7.34,-2.38,-0.06,-0.01,0.03,sitting
51050,-5.69,7.39,-2.47,-0.05,0.01,0.01,sitting
51070,-5.78,7.44,-2.47,-0.06,0.00,-0.01,sitting
51090,-5.77,7.36,-2.30,-0.05,-0.01,-0.02,sitting
51110,-5.63,7.41,-2.28,-0.05,-0.02,-0.03,sitting
51130,-5.73,7.37,-2.34,-0.02,0.01,-0.06,sitting
51150,-5.94,7.34,-2.44,-0.03,0.03,-0.06,sitting
51170,-5.77,7.29,-2.45,-0.02,0.02,-0.07,sitting
51190,-5.82,7.24,-2.52,-0.02,0.02,-0.09,sitting
51210,-5.97,7.14,-2.56,-0.04,0.02,-0.09,sitting
51230,-6.11,6.92,-2.62,-0.05,0.02,-0.09,sitting
51250,-6.11,6.93,-2.33,-0.04,-0.01,-0.06,sitting
51270,-6.07,7.12,-2.42,-0.03,-0.04,-0.04,sitting
51290,-5.99,7.18,-2.60,-0.03,-0.01,-0.04,sitting
51310,-6.08,6.87,-2.56,-0.05,0.01,-0.02,sitting
51330,-6.03,7.28,-2.53,-0.07,-0.00,-0.01,sitting
51350,-5.97,7.27,-2.48,-0.07,-0.00,-0.02,sitting
51370,-5.83,7.46,-2.69,-0.11,0.00,-0.02,sitting
51390,-5.99,7.34,-2.68,-0.14,0.01,-0.03,sitting
51410,-6.16,6.91,-2.69,-0.16,0.02,-0.03,sitting
51430,-6.27,6.82,-2.47,-0.18,-0.01,-0.03,sitting
51450,-6.18,6.59,-2.29,-0.16,-0.09,-0.02,sitting
51470,-5.99,6.69,-1.75,-0.10,-0.06,0.02,sitting
51490,-5.89,7.32,-1.85,0.00,-0.03,0.01,sitting
51510,-5.84,7.28,-2.28,0.08,-0.03,-0.01,sitting
51530,-6.11,7.00,-2.32,0.10,-0.04,-0.03,sitting
51550,-6.04,6.89,-2.38,0.14,-0.06,-0.03,sitting
51570,-6.08,7.03,-2.37,0.15,-0.07,-0.03,sitting
51590,-6.05,7.05,-2.48,0.16,-0.08,-0.03,sitting
51610,-6.06,7.27,-2.59,0.14,-0.10,-0.02,sitting
51630,-6.05,7.11,-2.58,0.08,-0.09,-0.01,sitting
51650,-6.11,7.04,-2.60,0.03,-0.07,0.00,sitting
51670,-6.12,7.14,-2.55,0.00,-0.04,0.02,sitting
51690,-6.00,7.17,-2.45,-0.01,-0.01,0.02,sitting
51710,-6.03,7.12,-2.57,-0.03,0.01,0.03,sitting
51730,-6.00,7.17,-2.60,-0.03,-0.00,0.02,sitting
51750,-6.03,7.25,-2.48,-0.06,-0.00,0.02,sitting
51770,-6.12,7.27,-2.50,-0.05,-0.02,0.02,sitting
51790,-6.05,7.14,-2.51,-0.02,-0.05,0.01,sitting
51810,-5.94,7.18,-2.56,-0.04,-0.04,0.01,sitting
51830,-5.99,7.21,-2.41,-0.03,-0.01,0.01,sitting
51850,-6.07,7.15,-2.47,-0.01,-0.02,0.01,sitting
51870,-6.04,7.01,-2.44,-0.01,-0.01,0.02,sitting
51890,-5.96,7.18,-2.41,-0.02,-0.02,0.02,sitting
51910,-5.87,7.39,-2.53,-0.03,-0.02,0.02,sitting
51930,-5.89,7.29,-2.63,-0.03,-0.01,0.02,sitting
51950,-5.87,7.10,-2.54,-0.04,-0.02,0.02,sitting
51970,-5.94,6.97,-2.52,-0.02,-0.05,-0.00,sitting
51990,-5.99,6.95,-2.49,-0.04,-0.05,-0.01,sitting
52010,-6.26,7.03,-2.52,-0.02,-0.07,0.01,sitting
52030,-6.22,7.08,-2.35,-0.06,-0.12,0.02,sitting
52050,-6.11,6.80,-2.45,-0.03,-0.08,0.02,sitting
52070,-6.14,6.87,-2.30,-0.03,-0.04,0.03,sitting
52090,-6.07,6.89,-2.44,-0.04,-0.01,0.02,sitting
52110,-5.88,6.92,-2.43,-0.07,0.02,0.01,sitting
52130,-6.02,7.06,-2.35,-0.07,0.04,0.01,sitting
52151,-6.10,7.17,-2.42,-0.06,0.05,0.01,sitting
52171,-6.04,7.24,-2.38,-0.05,0.05,0.01,sitting
52191,-6.04,7.03,-2.54,-0.06,0.06,0.03,sitting
52211,-6.12,6.91,-2.48,-0.06,0.03,0.04,sitting
52231,-6.07,7.06,-2.39,-0.04,-0.00,0.03,sitting
52251,-5.94,7.22,-2.30,-0.04,-0.03,0.03,sitting
52276,-6.00,7.05,-2.34,0.01,-0.05,-0.00,sitting
52296,-6.00,7.02,-2.34,0.08,-0.07,-0.01,sitting
52316,-6.13,7.01,-2.27,0.09,-0.07,-0.02,sitting
52336,-6.13,6.85,-2.37,0.12,-0.09,-0.01,sitting
52357,-6.16,7.03,-2.52,0.13,-0.10,0.00,sitting
52378,-6.13,7.24,-2.66,0.11,-0.10,0.02,sitting
52398,-6.08,7.19,-2.67,0.09,-0.11,0.02,sitting
52418,-6.05,7.13,-2.75,0.04,-0.11,0.04,sitting
52438,-5.95,7.19,-2.63,0.00,-0.11,0.03,sitting
52458,-5.90,7.27,-2.52,-0.04,-0.08,0.02,sitting
52478,-5.90,7.32,-2.49,-0.07,-0.06,0.03,sitting
52498,-5.90,7.25,-2.46,-0.11,-0.05,0.03,sitting
52518,-5.89,7.18,-2.34,-0.10,-0.03,0.01,sitting
52538,-5.97,7.27,-2.35,-0.12,-0.02,0.01,sitting
52558,-5.89,7.24,-2.22,-0.08,-0.01,-0.00,sitting
52578,-5.91,7.16,-2.22,-0.08,0.01,0.00,sitting
52598,-5.89,7.04,-2.22,-0.09,0.04,-0.00,sitting
52618,-5.90,6.98,-2.25,-0.09,0.07,-0.01,sitting
52638,-5.98,6.82,-2.16,-0.06,0.10,-0.03,sitting
52658,-6.06,6.93,-2.32,-0.04,0.09,-0.03,sitting
52678,-6.13,6.77,-2.34,-0.05,0.09,-0.02,sitting
52698,-6.13,6.81,-2.50,-0.02,0.07,-0.02,sitting
52718,-6.14,6.93,-2.41,-0.01,0.07,-0.02,sitting
52738,-6.05,6.91,-2.51,-0.00,0.05,-0.02,sitting
52758,-6.00,7.00,-2.47,0.01,0.06,-0.02,sitting
52778,-6.11,7.14,-2.52,0.03,0.06,-0.03,sitting
52798,-6.09,7.11,-2.58,0.04,0.06,-0.02,sitting
52818,-5.95,7.20,-2.63,0.02,0.07,-0.01,sitting
52838,-5.96,7.26,-2.76,0.01,0.08,-0.01,sitting
52858,-6.09,7.10,-2.82,-0.02,0.06,-0.02,sitting
52881,-6.07,6.96,-2.87,-0.04,0.05,-0.03,sitting
52902,-6.16,6.88,-2.71,-0.05,0.06,-0.01,sitting
52922,-6.23,7.04,-2.74,-0.05,0.05,-0.00,sitting
52942,-6.15,6.96,-2.66,-0.05,0.02,-0.00,sitting
52962,-6.16,6.90,-2.56,-0.05,0.02,0.01,sitting
52982,-6.08,6.90,-2.45,-0.03,0.02,0.02,sitting
53002,-6.04,6.98,-2.45,-0.01,0.01,0.02,sitting
53022,-6.03,6.98,-2.53,0.01,0.01,0.02,sitting
53042,-6.10,7.13,-2.61,0.04,0.01,0.02,sitting
53062,-6.07,7.21,-2.82,0.07,-0.01,0.01,sitting
53082,-6.02,7.06,-2.66,0.05,-0.01,0.01,sitting
53102,-6.02,7.06,-2.77,0.02,0.02,0.02,sitting
53122,-5.98,7.00,-2.80,-0.01,0.04,0.02,sitting
53142,-5.96,7.03,-2.86,-0.05,0.04,0.02,sitting
53162,-5.95,7.12,-2.79,-0.08,0.04,0.02,sitting
53182,-5.99,7.10,-2.82,-0.09,0.04,0.02,sitting
53202,-5.90,7.15,-2.82,-0.11,0.05,0.02,sitting
53222,-6.01,7.09,-2.69,-0.13,0.06,0.01,sitting
53242,-6.27,6.96,-2.64,-0.13,0.03,0.01,sitting
53262,-6.27,6.83,-2.44,-0.12,-0.02,0.04,sitting
53282,-5.99,6.95,-2.46,-0.08,-0.02,0.05,sitting
53302,-5.95,7.09,-2.54,-0.03,-0.01,0.04,sitting
