Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
55668,-9.39,0.22,0.27,-0.02,0.04,-0.02,standing
55689,-9.53,0.22,0.33,-0.02,0.03,-0.02,standing
55709,-9.51,0.27,0.25,-0.00,0.03,-0.01,standing
55729,-9.45,0.29,0.15,-0.01,0.04,-0.01,standing
55749,-9.41,0.33,0.17,-0.03,0.03,-0.02,standing
55769,-9.40,0.36,0.22,-0.04,0.03,-0.01,standing
55789,-9.49,0.41,0.19,-0.06,0.04,-0.01,standing
55809,-9.50,0.44,0.20,-0.10,0.06,-0.01,standing
55829,-9.48,0.40,0.03,-0.12,0.06,-0.01,standing
55849,-9.42,0.44,0.04,-0.16,0.07,-0.00,standing
55869,-9.46,0.40,0.08,-0.16,0.08,-0.01,standing
55889,-9.36,0.37,0.12,-0.18,0.08,-0.00,standing
55909,-9.43,0.21,-0.01,-0.19,0.09,-0.01,standing
55929,-9.61,0.07,0.04,-0.18,0.09,0.00,standing
55949,-9.47,0.10,0.10,-0.17,0.06,-0.00,standing
55969,-9.36,0.18,0.08,-0.15,0.06,-0.03,standing
55989,-9.36,0.03,0.17,-0.15,0.06,-0.04,standing
56009,-9.55,-0.18,0.32,-0.07,0.05,-0.06,standing
56029,-9.83,-0.04,0.13,-0.06,0.03,-0.05,standing
56049,-9.84,0.21,-0.07,-0.08,0.01,-0.01,standing
56069,-9.61,0.28,-0.05,-0.09,0.01,-0.01,standing
56089,-9.33,0.35,0.05,-0.10,0.03,-0.01,standing
56109,-9.29,0.27,0.00,-0.08,0.06,-0.03,standing
56129,-9.34,0.07,-0.10,-0.08,0.07,-0.03,standing
56149,-9.55,0.09,-0.09,-0.09,0.06,-0.03,standing
56169,-9.69,0.09,0.00,-0.11,0.02,-0.02,standing
56189,-9.52,0.16,0.17,-0.09,0.01,-0.01,standing
56209,-9.40,0.15,0.19,-0.08,0.02,-0.01,standing
56229,-9.48,0.12,-0.00,-0.07,0.04,-0.01,standing
56249,-9.50,0.11,-0.09,-0.04,0.03,-0.01,standing
56269,-9.54,0.07,0.00,-0.02,0.01,-0.02,standing
56289,-9.56,0.02,-0.05,0.02,-0.01,-0.03,standing
56309,-9.59,-0.11,0.01,0.01,-0.01,-0.01,standing
56329,-9.43,0.06,0.04,0.02,-0.01,-0.01,standing
56349,-9.43,0.17,0.01,0.02,-0.00,-0.01,standing
56369,-9.37,0.11,0.02,-0.01,0.01,-0.01,standing
56389,-9.41,0.19,0.03,-0.01,0.02,-0.01,standing
56409,-9.49,0.26,-0.02,-0.02,0.04,-0.01,standing
56429,-9.56,0.34,-0.14,-0.04,0.04,-0.01,standing
56449,-9.53,0.38,-0.18,-0.07,0.04,0.00,standing
56469,-9.48,0.32,-0.25,-0.12,0.04,0.00,standing
56489,-9.54,0.34,-0.09,-0.17,0.04,0.01,standing
56509,-9.49,0.26,-0.28,-0.21,0.03,0.03,standing
56529,-9.59,0.17,-0.23,-0.22,0.03,0.04,standing
56549,-9.59,0.19,-0.18,-0.22,0.04,0.04,standing
56569,-9.58,0.13,-0.34,-0.25,0.03,0.05,standing
56589,-9.53,0.14,-0.23,-0.25,0.02,0.06,standing
56609,-9.59,0.12,-0.12,-0.26,0.00,0.05,standing
56629,-9.49,0.07,-0.19,-0.26,-0.00,0.05,standing
