Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
33179,-9.56,-1.10,0.35,-0.13,0.07,-0.03,standing
33199,-9.50,-1.08,0.34,-0.12,0.02,-0.02,standing
33219,-9.41,-1.01,0.57,-0.12,0.01,-0.03,standing
33239,-9.32,-1.10,0.52,-0.14,0.04,-0.03,standing
33259,-9.45,-1.29,0.50,-0.11,0.04,-0.03,standing
33279,-9.57,-1.31,0.41,-0.07,0.01,-0.01,standing
33299,-9.51,-1.27,0.45,-0.04,-0.04,0.00,standing
33319,-9.23,-1.22,0.56,-0.06,-0.03,0.00,standing
33339,-9.23,-1.15,0.57,-0.07,0.03,-0.01,standing
33359,-9.43,-1.24,0.45,-0.05,0.02,-0.02,standing
33379,-9.50,-1.21,0.39,-0.03,-0.01,-0.03,standing
33399,-9.41,-1.14,0.36,-0.03,-0.01,-0.03,standing
33419,-9.39,-1.18,0.42,-0.02,-0.03,-0.03,standing
33439,-9.34,-1.29,0.49,-0.01,-0.02,-0.03,standing
33459,-9.37,-1.50,0.39,0.01,0.00,-0.03,standing
33479,-9.46,-1.50,0.16,0.05,0.00,-0.03,standing
33499,-9.45,-1.47,0.38,0.05,-0.01,-0.01,standing
33519,-9.36,-1.29,0.43,0.03,-0.01,0.01,standing
33539,-9.25,-1.17,0.46,0.04,0.03,0.00,standing
33559,-9.25,-1.11,0.38,0.03,0.05,-0.01,standing
33579,-9.23,-1.14,0.41,0.01,0.08,-0.02,standing
33599,-9.17,-1.16,0.22,-0.01,0.08,-0.03,standing
33619,-9.08,-1.23,0.13,0.00,0.08,-0.04,standing
33639,-9.16,-1.37,0.13,0.00,0.08,-0.05,standing
33659,-9.45,-1.43,0.09,0.02,0.08,-0.07,standing
33679,-9.29,-1.51,0.01,0.01,0.08,-0.07,standing
33698,-8.71,-1.66,-0.19,-0.03,0.13,-0.09,standing
33718,-8.07,-1.70,-0.37,-0.04,0.17,-0.13,standing
33739,-8.11,-1.44,-0.22,-0.03,0.17,-0.17,standing
33759,-8.82,-1.31,-0.16,-0.01,0.24,-0.17,standing
33779,-9.66,-1.41,-0.31,-0.04,0.26,-0.17,standing
33799,-9.22,-1.58,-0.73,-0.14,0.22,-0.18,standing
33819,-8.12,-1.75,-0.63,-0.25,0.25,-0.26,standing
33839,-8.06,-2.04,-0.47,-0.20,0.29,-0.31,standing
33859,-8.48,-1.92,-0.49,-0.15,0.33,-0.32,standing
33879,-8.37,-1.67,-0.66,-0.22,0.38,-0.34,standing
33899,-7.61,-1.73,-0.73,-0.38,0.50,-0.39,standing
33919,-7.89,-2.26,-0.90,-0.36,0.55,-0.47,standing
33939,-8.66,-2.30,-1.08,-0.26,0.43,-0.48,standing
33959,-8.13,-1.83,-0.81,-0.31,0.22,-0.45,standing
33979,-6.89,-1.88,-0.40,-0.37,0.33,-0.46,standing
33999,-7.26,-2.53,-0.87,-0.25,0.64,-0.50,standing
34019,-9.59,-2.69,-1.13,-0.12,0.84,-0.50,standing
34039,-11.83,-2.55,-1.30,-0.14,0.61,-0.43,standing
34059,-11.80,-2.97,-1.31,-0.16,0.03,-0.28,standing
34079,-9.42,-3.00,-0.57,-0.09,-0.39,-0.19,standing
34099,-7.49,-2.32,0.35,0.05,-0.28,-0.14,standing
34119,-7.50,-1.76,0.12,0.16,0.18,-0.14,standing
34139,-9.08,-1.56,-0.90,0.12,0.37,-0.12,standing
34159,-9.41,-1.96,-0.96,0.04,0.16,-0.05,standing
34179,-9.03,-2.32,-0.85,-0.00,0.11,0.03,standing
34199,-9.36,-2.52,-0.82,0.03,0.20,0.10,standing
34219,-9.40,-2.62,-1.10,0.11,0.06,0.12,standing
34239,-8.85,-2.11,-1.24,0.18,-0.18,0.13,standing
34259,-8.78,-1.30,-1.35,0.17,-0.05,0.12,standing
34279,-9.75,-1.57,-1.35,0.08,0.09,0.10,standing
34299,-10.58,-2.44,-1.19,-0.00,-0.02,0.16,standing
34319,-9.71,-2.61,-0.78,-0.05,-0.29,0.26,standing
34339,-8.52,-2.57,-0.40,-0.07,-0.29,0.28,standing
34359,-8.44,-2.58,-0.52,-0.04,-0.15,0.21,standing
34379,-9.67,-2.77,-1.10,0.14,-0.07,0.09,standing
34399,-10.89,-2.96,-1.13,0.29,-0.09,0.04,standing
34418,-11.76,-2.93,-0.99,0.29,-0.15,0.08,standing
34438,-12.17,-2.71,-0.63,0.20,-0.20,0.15,standing
34458,-11.99,-2.22,-0.51,0.11,-0.27,0.23,standing
34478,-11.50,-1.84,-0.29,0.05,-0.31,0.26,standing
34498,-11.10,-2.14,-0.10,-0.05,-0.22,0.21,standing
34519,-11.96,-2.60,0.35,-0.08,0.00,0.12,standing
34539,-12.27,-2.38,0.84,-0.02,-0.14,0.15,standing
34559,-10.64,-1.58,0.91,0.01,-0.32,0.23,standing
34579,-8.59,-1.55,0.54,-0.08,-0.28,0.26,standing
34599,-7.48,-1.82,0.37,-0.05,-0.25,0.19,standing
34619,-7.36,-1.75,0.47,0.08,-0.19,0.10,standing
34639,-7.80,-0.92,0.53,0.11,-0.14,0.06,standing
34659,-8.00,-0.85,0.45,0.03,-0.10,0.01,standing
34679,-8.64,-1.41,0.24,-0.01,0.00,-0.05,standing
34699,-10.11,-2.17,0.09,0.01,0.20,-0.09,standing
34718,-11.78,-2.57,-0.11,0.01,0.33,-0.07,standing
34739,-14.01,-2.55,-0.06,-0.09,0.39,-0.06,standing
34759,-15.24,-2.59,0.12,-0.08,0.21,-0.06,standing
34779,-14.41,-2.18,0.76,0.08,0.09,-0.08,standing
34799,-13.49,-1.59,0.56,0.03,0.16,-0.08,standing
34819,-13.56,-1.54,0.49,-0.10,0.24,-0.02,standing
34839,-13.54,-1.98,0.03,-0.07,0.15,0.04,standing
34859,-13.18,-2.26,-0.16,0.03,-0.08,0.10,standing
34879,-12.22,-2.33,-0.10,0.05,-0.28,0.20,standing
34899,-11.09,-2.26,0.01,0.06,-0.43,0.30,standing
34919,-10.01,-1.74,0.09,0.10,-0.62,0.34,standing
34939,-8.79,-1.41,0.41,0.07,-0.67,0.41,standing
34959,-7.85,-1.55,0.55,0.02,-0.49,0.45,standing
34979,-8.38,-1.05,0.52,0.03,-0.32,0.43,standing
34999,-9.00,-0.63,0.64,0.04,-0.55,0.37,standing
35019,-8.94,-0.65,0.52,0.10,-0.64,0.35,standing
35039,-8.98,-0.43,0.12,0.08,-0.71,0.38,standing
35059,-8.46,-0.55,0.12,-0.10,-0.71,0.50,standing
35079,-7.79,-0.66,0.04,-0.32,-0.79,0.61,standing
35099,-6.75,-0.78,0.18,-0.34,-0.81,0.70,standing
35119,-5.52,-1.04,0.19,-0.16,-0.83,0.68,standing
35139,-4.63,-1.38,-0.56,-0.04,-0.81,0.51,standing
35159,-4.15,-1.72,-1.08,0.05,-0.61,0.40,standing
35179,-4.53,-1.78,-0.96,0.12,-0.34,0.29,standing
35198,-5.87,-1.46,0.05,0.14,-0.11,0.26,standing
35218,-7.30,-1.06,0.78,0.20,-0.02,0.21,standing
35238,-8.89,-0.71,1.20,0.21,0.03,0.17,standing
35258,-10.22,-0.41,0.94,0.20,0.01,0.12,standing
35278,-10.43,-0.39,0.96,0.16,-0.15,0.11,standing
35298,-10.14,-0.02,1.16,0.14,-0.19,0.17,standing
35318,-9.32,0.48,1.22,0.08,-0.23,0.20,standing
35344,-8.80,0.37,1.42,-0.10,-0.04,0.17,standing
35364,-8.99,-0.48,1.29,-0.16,0.02,0.16,standing
35384,-9.05,-0.95,1.74,-0.12,-0.03,0.13,standing
35404,-9.23,-1.23,1.41,-0.02,-0.02,0.09,standing
35424,-9.27,-1.09,0.88,0.08,-0.06,0.03,standing
35444,-9.22,-0.72,1.08,0.14,-0.07,0.01,standing
35464,-8.95,-0.56,1.35,0.18,-0.04,-0.02,standing
35484,-8.88,-0.51,1.48,0.16,0.03,-0.05,standing
35504,-9.08,-0.45,1.53,0.19,0.07,-0.06,standing
35524,-9.17,-0.07,1.24,0.22,0.13,-0.06,standing
35544,-9.34,0.11,1.01,0.16,0.16,-0.06,standing
35564,-9.42,-0.17,1.05,0.11,0.16,-0.08,standing
35584,-9.55,-0.51,1.22,0.12,0.12,-0.12,standing
35604,-9.18,-0.38,1.15,0.10,0.08,-0.11,standing
35624,-9.14,-0.28,1.23,0.09,0.13,-0.09,standing
35644,-9.56,-0.09,1.28,0.09,0.13,-0.07,standing
35664,-9.89,-0.02,1.37,0.05,0.10,-0.05,standing
35684,-9.61,0.07,1.17,0.01,0.06,-0.06,standing
35704,-9.20,0.10,1.20,-0.04,0.07,-0.07,standing
35724,-9.04,-0.09,1.34,-0.02,0.11,-0.07,standing
35744,-9.23,-0.38,0.98,-0.06,0.14,-0.07,standing
35764,-9.42,-0.24,0.88,-0.10,0.14,-0.06,standing
35784,-9.60,-0.26,0.97,-0.09,0.11,-0.04,standing
35804,-9.40,-0.39,0.97,-0.07,0.04,-0.06,standing
35824,-9.34,-0.45,1.01,-0.08,0.02,-0.05,standing
35844,-9.32,-0.43,1.15,-0.08,0.04,-0.03,standing
35864,-9.34,-0.31,1.17,-0.08,0.06,-0.02,standing
35884,-9.35,-0.28,1.16,-0.11,0.08,-0.02,standing
35904,-9.22,-0.34,1.18,-0.11,0.08,-0.02,standing
35924,-9.34,-0.31,1.06,-0.14,0.09,-0.03,standing
35944,-9.53,-0.21,1.06,-0.15,0.07,-0.03,standing
