Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
27703,-9.33,-0.57,1.01,-0.08,-0.02,-0.01,standing
27723,-9.38,-0.55,0.98,-0.08,-0.02,-0.01,standing
27743,-9.33,-0.56,1.04,-0.09,-0.02,-0.02,standing
27763,-9.28,-0.57,0.97,-0.10,-0.03,-0.02,standing
27783,-9.36,-0.59,1.06,-0.10,-0.03,-0.01,standing
27803,-9.31,-0.76,1.06,-0.10,-0.01,-0.01,standing
27823,-9.37,-0.76,1.02,-0.10,0.00,-0.01,standing
27843,-9.47,-0.78,0.84,-0.08,-0.01,-0.03,standing
27863,-9.41,-0.63,0.85,-0.08,-0.02,-0.02,standing
27883,-9.39,-0.59,0.84,-0.08,-0.02,-0.00,standing
27903,-9.32,-0.65,0.93,-0.09,-0.01,0.01,standing
27923,-9.33,-0.48,0.91,-0.08,0.00,0.01,standing
27943,-9.48,-0.45,0.84,-0.08,0.02,0.01,standing
27963,-9.38,-0.57,0.83,-0.09,0.00,0.01,standing
27983,-9.38,-0.89,1.11,-0.07,-0.01,0.01,standing
28003,-9.52,-1.07,1.16,-0.04,-0.03,0.01,standing
28023,-9.51,-0.85,0.93,-0.00,-0.02,-0.00,standing
28043,-9.18,-0.78,1.26,0.02,-0.04,-0.01,standing
28063,-9.37,-0.78,1.12,0.02,-0.01,-0.02,standing
28083,-9.28,-0.60,1.14,0.03,-0.00,-0.03,standing
28103,-9.38,-0.62,1.05,0.02,0.03,-0.01,standing
28123,-9.50,-0.68,1.03,0.02,0.02,-0.00,standing
28143,-9.36,-0.61,1.02,0.03,0.01,-0.01,standing
28163,-9.46,-0.62,0.94,0.03,-0.01,-0.02,standing
28183,-9.37,-0.66,0.94,0.02,-0.03,-0.01,standing
28203,-9.41,-0.64,0.99,0.02,-0.03,0.00,standing
28223,-9.38,-0.52,0.91,0.02,-0.02,0.00,standing
28243,-9.35,-0.58,0.91,0.03,-0.02,-0.00,standing
28263,-9.32,-0.60,1.04,0.03,-0.00,0.00,standing
28283,-9.36,-0.65,0.95,0.03,0.00,-0.00,standing
28303,-9.33,-0.58,0.94,0.04,0.01,0.01,standing
28323,-9.29,-0.56,1.06,0.03,0.01,0.00,standing
28343,-9.35,-0.54,1.01,0.02,0.02,0.01,standing
28363,-9.46,-0.66,0.98,0.02,0.02,0.01,standing
28383,-9.40,-0.66,1.02,0.02,0.02,0.01,standing
28403,-9.38,-0.66,1.07,0.02,0.01,0.01,standing
28423,-9.35,-0.64,0.94,0.02,0.02,0.01,standing
28443,-9.50,-0.69,1.02,-0.01,0.02,0.02,standing
28463,-9.40,-0.67,1.01,0.00,0.01,0.02,standing
28483,-9.43,-0.65,0.95,-0.02,-0.01,0.01,standing
28503,-9.38,-0.57,0.88,-0.02,-0.02,-0.00,standing
28523,-9.42,-0.55,1.04,-0.04,-0.02,0.00,standing
28543,-9.43,-0.59,0.96,-0.04,-0.03,-0.00,standing
28563,-9.44,-0.59,1.02,-0.07,-0.04,0.01,standing
28583,-9.43,-0.57,0.93,-0.08,-0.06,0.01,standing
28603,-9.31,-0.53,1.04,-0.10,-0.05,0.02,standing
28623,-9.33,-0.55,0.93,-0.08,-0.05,0.01,standing
28643,-9.39,-0.51,0.95,-0.11,-0.03,0.02,standing
28663,-9.37,-0.52,1.00,-0.12,-0.03,0.02,standing
28683,-9.50,-0.55,0.97,-0.10,-0.04,0.01,standing
28703,-9.49,-0.69,1.07,-0.12,-0.05,0.02,standing
28723,-9.34,-0.75,1.10,-0.12,-0.05,0.02,standing
28743,-9.40,-0.73,1.17,-0.12,-0.04,0.02,standing
28763,-9.27,-0.78,1.10,-0.09,-0.04,0.01,standing
28783,-9.39,-0.77,1.08,-0.09,-0.03,0.02,standing
28803,-9.39,-0.75,1.11,-0.08,-0.03,0.03,standing
28823,-9.39,-0.78,1.21,-0.06,-0.03,0.03,standing
28843,-9.33,-0.81,1.21,-0.05,-0.02,0.02,standing
28863,-9.34,-0.76,1.12,-0.02,-0.03,0.02,standing
28883,-9.43,-0.81,1.17,-0.02,-0.02,0.02,standing
28903,-9.36,-0.76,1.25,0.02,-0.02,0.02,standing
28923,-9.31,-0.74,1.12,0.03,-0.00,0.02,standing
28943,-9.38,-0.74,1.11,0.05,0.00,0.02,standing
28963,-9.37,-0.69,1.13,0.06,-0.01,0.02,standing
28983,-9.36,-0.72,1.16,0.07,-0.00,0.01,standing
29003,-9.34,-0.77,1.09,0.07,-0.00,0.00,standing
29023,-9.40,-0.81,1.16,0.07,0.00,0.00,standing
29043,-9.34,-0.78,1.23,0.12,0.01,-0.00,standing
29063,-9.40,-0.74,1.18,0.14,0.00,-0.01,standing
29083,-9.28,-0.66,1.29,0.15,0.00,-0.01,standing
29103,-9.41,-0.68,1.23,0.16,0.00,-0.01,standing
29123,-9.40,-0.60,1.23,0.18,0.02,-0.01,standing
29143,-9.39,-0.60,1.16,0.18,0.03,-0.01,standing
29163,-9.43,-0.63,1.19,0.20,0.02,-0.01,standing
29183,-9.39,-0.62,1.15,0.20,0.02,-0.01,standing
29203,-9.46,-0.55,1.14,0.21,0.03,-0.01,standing
29223,-9.38,-0.53,1.08,0.20,0.03,-0.00,standing
29243,-9.52,-0.43,1.06,0.18,-0.00,0.01,standing
29263,-9.41,-0.27,1.09,0.16,-0.01,0.04,standing
29283,-9.57,-0.18,0.93,0.11,0.01,0.05,standing
29303,-9.61,-0.11,0.92,0.03,0.00,0.07,standing
29323,-9.50,-0.02,0.98,-0.03,0.00,0.07,standing
29343,-9.26,-0.01,0.97,-0.09,0.02,0.09,standing
29363,-9.40,0.01,0.85,-0.18,0.02,0.12,standing
29383,-9.35,0.16,0.76,-0.28,-0.01,0.14,standing
29403,-9.48,0.25,0.86,-0.42,-0.04,0.17,standing
29423,-9.49,0.25,0.81,-0.51,-0.05,0.17,standing
29443,-9.41,0.19,0.86,-0.64,-0.08,0.20,standing
29463,-9.33,0.09,0.96,-0.72,-0.09,0.21,standing
29483,-9.28,-0.12,0.82,-0.79,-0.04,0.23,standing
29503,-9.26,0.05,0.89,-0.88,-0.05,0.24,standing
29523,-9.28,0.27,0.75,-0.95,-0.07,0.25,standing
29543,-8.97,0.41,0.82,-1.06,-0.05,0.28,standing
29563,-9.16,0.48,1.02,-1.19,-0.06,0.29,standing
29583,-9.16,0.25,1.01,-1.28,0.03,0.31,standing
29603,-9.48,0.10,0.78,-1.35,0.13,0.31,standing
29623,-9.42,0.16,0.44,-1.43,0.17,0.30,standing
29643,-9.32,0.14,0.35,-1.50,0.21,0.28,standing
29663,-9.25,0.06,0.26,-1.55,0.25,0.27,standing
29683,-9.32,-0.02,0.16,-1.64,0.24,0.27,standing
29703,-9.29,-0.13,0.20,-1.70,0.29,0.26,standing
29723,-9.38,-0.24,0.25,-1.71,0.36,0.24,standing
29743,-9.14,-0.36,0.05,-1.72,0.43,0.20,standing
29763,-9.25,-0.49,-0.16,-1.74,0.47,0.16,standing
29783,-9.26,-0.41,-0.06,-1.71,0.41,0.13,standing
29803,-9.16,-0.48,-0.24,-1.68,0.45,0.11,standing
29823,-9.22,-0.85,-0.07,-1.61,0.48,0.10,standing
29843,-9.69,-0.94,0.27,-1.50,0.46,0.12,standing
29863,-9.83,-0.73,0.38,-1.33,0.43,0.11,standing
29883,-10.39,-0.69,0.38,-1.14,0.31,0.09,standing
29903,-10.57,-0.70,0.45,-1.01,0.08,0.06,standing
29923,-9.99,-0.36,0.72,-0.90,-0.11,0.12,standing
29943,-9.68,0.61,0.94,-0.83,-0.15,0.17,standing
29963,-9.35,1.17,1.21,-0.82,-0.13,0.13,standing
29983,-9.05,1.11,0.78,-0.84,0.05,0.08,standing
30003,-9.18,0.77,0.13,-0.89,0.10,0.05,standing
30023,-9.61,0.32,-0.36,-0.92,0.10,0.02,standing
30043,-9.76,0.08,-0.28,-0.89,-0.06,-0.01,standing
30063,-9.51,-0.16,-0.07,-0.77,-0.18,-0.05,standing
30083,-9.45,-0.34,0.02,-0.62,-0.19,-0.08,standing
30103,-9.58,-0.44,-0.42,-0.52,-0.15,-0.09,standing
30123,-9.95,-0.82,-0.78,-0.50,-0.12,-0.12,standing
30143,-10.15,-1.13,-0.48,-0.48,-0.24,-0.12,standing
30163,-9.73,-0.80,-0.11,-0.32,-0.28,-0.12,standing
30183,-9.82,-0.30,-0.78,-0.34,-0.15,-0.10,standing
30203,-9.87,-0.29,-0.79,-0.47,-0.13,-0.07,standing
30223,-9.20,-0.52,-0.22,-0.58,-0.20,-0.09,standing
30243,-8.68,-0.73,0.66,-0.60,-0.22,-0.11,standing
30263,-8.71,-0.66,0.97,-0.53,-0.15,-0.14,standing
30283,-9.20,-0.63,0.52,-0.42,-0.05,-0.18,standing
30303,-9.87,-0.81,0.04,-0.42,-0.08,-0.17,standing
